Id,F_Name,S_Name,Sex,DOB,Department,Designation,Years_Exp,Location,salary
1,A,W,Male,10/01/59,Management,Managing Director,7,Bangalore,12000000
2,A,W,Male,04/08/70,Management,Director,9,Bangalore,12000000
3,A,W,Male,15/08/76,Management,Director,7,Bangalore,12000000
4,A,W,Male,04/03/68,Management,CEO,3,Bangalore,12000000
5,A,W,Female,05/04/60,Management,CTO,4,Bangalore,12000000
6,B,W,Female,15/10/55,Management,CFO,4,Bangalore,12000000
7,B,W,Male,19/07/79,R&D,Senior Engineer,6,Bangalore,5491873
8,B,W,Male,18/02/71,R&D,Senior Engineer,5,Bangalore,7748571
9,B,W,Male,03/02/67,R&D,Senior Engineer,2,Bangalore,6643336
10,B,W,Female,16/08/70,R&D,Senior Engineer,7,Bangalore,4619672
11,B,W,Female,27/11/51,R&D,Junior Engineer,8,Bangalore,4981673
12,B,W,Female,22/06/86,R&D,Junior Engineer,9,Bangalore,2603167
13,B,W,Male,12/07/67,Sales,Junior Engineer,7,Gurgaon,8285095
14,B,W,Male,09/06/81,Sales,Sales Executive,2,Gurgaon,8863298
15,B,W,Male,09/05/51,Sales,Sales Executive,3,Gurgaon,3455671
16,C,W,Male,20/05/86,Sales,Sales Executive,9,Gurgaon,8943563
17,C,W,Male,27/05/61,Sales,Sales Executive,5,Gurgaon,3152120
18,C,W,Male,18/02/86,Sales,Sales Consultant,4,Gurgaon,8126815
19,C,W,Female,08/11/90,Sales,Sales Consultant,1,Gurgaon,2000136
20,C,W,Female,04/05/66,Sales,Sales Consultant,2,Gurgaon,6549499
21,C,X,Female,07/05/71,Sales,Sales Consultant,7,Gurgaon,7127179
22,C,X,Female,09/03/83,Sales,Business Development Manager,1,Gurgaon,8027143
23,C,X,Female,03/05/64,Sales,Business Development Manager,3,Gurgaon,5536783
24,C,X,Female,17/02/59,Sales,Business Development Manager,6,Bangalore,3241303
25,C,X,Female,24/05/64,Sales,Business Development Manager,8,Bangalore,7546792
26,C,X,Female,27/11/69,Sales,Business Development Manager,7,Bangalore,8041135
27,C,X,Female,26/02/77,Sales,Manager,4,Bangalore,6912282
28,C,X,Male,26/05/93,IT,Junior Engineer,3,Bangalore,3857746
29,C,X,Male,25/02/66,IT,Senior Engineer,4,Bangalore,8683784
30,C,X,Male,03/04/77,IT,Senior Engineer,2,Bangalore,6318831
31,D,X,Male,10/08/54,IT,Manager,1,Bangalore,6121854
32,D,X,Female,23/07/71,IT,Junior Engineer,1,Bangalore,3491384
33,D,X,Female,12/10/73,IT,Junior Engineer,6,Bangalore,3104003
34,D,X,Female,22/04/59,IT,Senior Engineer,4,Bangalore,7682197
35,D,X,Female,24/08/74,IT,Manager,7,Bangalore,2215840
36,D,Y,Male,04/06/50,Marketing,Marketing Research Analyst,2,Bangalore,4478341
37,D,Y,Male,11/01/63,Marketing,Marketing Research Analyst,8,Bangalore,4216548
38,D,Y,Male,04/08/75,Marketing,Marketing Research Analyst,3,Bangalore,2100411
39,D,Y,Male,24/03/59,Marketing,Marketing Manager,7,Mumbai,8058434
40,D,Y,Male,09/06/93,Marketing,Marketing Manager,2,Mumbai,3698158
41,D,Y,Female,06/04/79,Marketing,Marketing Research Analyst,4,Mumbai,5987874
42,D,Y,Female,25/02/51,Marketing,Marketing Manager,1,Mumbai,2717896
43,D,Y,Female,20/07/56,Marketing,Marketing Manager,1,Mumbai,8146295
44,D,Y,Male,11/09/87,Finance,Financial Accountant,7,Mumbai,3729220
45,D,Y,Male,03/04/89,Finance,Financial Accountant,8,Mumbai,7828320
46,D,Z,Male,08/08/57,Finance,Financial Accountant,3,Bangalore,4202612
47,D,Z,Male,27/09/91,Finance,Financial Accountant,3,Bangalore,7324344
48,D,Z,Female,02/06/71,Finance,Manager,2,Bangalore,6557356
49,D,Z,Female,12/04/84,Finance,Financial Accountant,8,Bangalore,2291882
50,D,Z,Female,09/05/52,Finance,Manager,1,Bangalore,5360246
